,sexe, race,age, education,pays d'origine,etat civil,relation,Secteur d'activite, occupation,gain en capital,perte en capital,revenue annuel,heure par semaine, education-num,revenue annuel  numeric,sexe numeric,race numeric,pays d'origine numeric,etat civil numeric,relation numeric,secteur d'activite numeric,occupation numeric,education numeric
45, Female, White,301, 10th, United-States, Divorced, Unmarried, Private, Other-service,0,0, <=50K,261,42,1,0,4,38,0,4,3,8,0
46, Female, White,62, 10th, United-States, Divorced, Unmarried, Private, Prof-specialty,0,0, <=50K,40,6,1,0,4,38,0,4,3,10,0
47, Female, White,108, 10th, United-States, Divorced, Unmarried, Private, Sales,0,0, <=50K,70,12,1,0,4,38,0,4,3,12,0
48, Female, White,36, 10th, United-States, Married-civ-spouse, Own-child, Private, Machine-op-inspct,3464,0, <=50K,40,6,1,0,4,38,2,3,3,7,0
49, Female, White,25, 10th, United-States, Married-civ-spouse, Own-child, Private, Other-service,0,0, <=50K,35,6,1,0,4,38,2,3,3,8,0
50, Female, White,17, 10th, United-States, Married-civ-spouse, Own-child, Private, Sales,0,0, <=50K,30,6,1,0,4,38,2,3,3,12,0
51, Female, Amer-Indian-Eskimo,29, 10th, United-States, Married-civ-spouse, Wife, Private, Farming-fishing,0,0, <=50K,40,6,1,0,0,38,2,5,3,5,0
52, Female, Amer-Indian-Eskimo,28, 10th, United-States, Married-civ-spouse, Wife, Federal-gov, Other-service,0,0, <=50K,40,6,1,0,0,38,2,5,0,8,0
53, Female, Black,95, 10th, United-States, Married-civ-spouse, Wife, Private, Other-service,0,0, <=50K,72,12,1,0,2,38,2,5,3,8,0
54, Female, Black,25, 10th, United-States, Married-civ-spouse, Wife, Private, Protective-serv,0,0, <=50K,50,6,1,0,2,38,2,5,3,11,0
55, Female, White,74, 10th, United-States, Married-civ-spouse, Wife, Private, Adm-clerical,0,0, <=50K,80,12,1,0,4,38,2,5,3,1,0
56, Female, White,32, 10th, United-States, Married-civ-spouse, Wife, Private, Exec-managerial,0,0, <=50K,35,6,1,0,4,38,2,5,3,4,0
57, Female, White,81, 10th, United-States, Married-civ-spouse, Wife, Self-emp-inc, Exec-managerial,2936,0, <=50K,28,6,1,0,4,38,2,5,4,4,0
58, Female, White,59, 10th, United-States, Married-civ-spouse, Wife, Self-emp-not-inc, Exec-managerial,0,0, <=50K,36,6,1,0,4,38,2,5,5,4,0
59, Female, White,29, 10th, United-States, Married-civ-spouse, Wife, Private, Farming-fishing,0,0, <=50K,40,6,1,0,4,38,2,5,3,5,0
60, Female, White,26, 10th, United-States, Married-civ-spouse, Wife, Private, Handlers-cleaners,0,0, <=50K,40,6,1,0,4,38,2,5,3,6,0
61, Female, White,46, 10th, United-States, Married-civ-spouse, Wife, Private, Machine-op-inspct,0,0, <=50K,80,12,1,0,4,38,2,5,3,7,0
62, Female, White,171, 10th, United-States, Married-civ-spouse, Wife, Private, Other-service,0,0, <=50K,107,24,1,0,4,38,2,5,3,8,0
63, Female, White,37, 10th, United-States, Married-civ-spouse, Wife, Self-emp-not-inc, Other-service,2635,0, <=50K,40,6,1,0,4,38,2,5,5,8,0
64, Female, White,22, 10th, United-States, Married-civ-spouse, Wife, Private, Sales,0,0, <=50K,40,6,1,0,4,38,2,5,3,12,0
65, Female, White,58, 10th, United-States, Married-civ-spouse, Wife, Self-emp-inc, Transport-moving,0,0, <=50K,40,6,1,0,4,38,2,5,4,14,0
66, Female, Black,32, 10th, United-States, Married-spouse-absent, Not-in-family, Private, Other-service,0,0, <=50K,37,6,1,0,2,38,3,1,3,8,0
67, Female, White,41, 10th, United-States, Married-spouse-absent, Not-in-family, Private, Craft-repair,0,0, <=50K,40,6,1,0,4,38,3,1,3,3,0
68, Female, White,39, 10th, United-States, Married-spouse-absent, Not-in-family, Self-emp-not-inc, Other-service,0,1721, <=50K,15,6,1,0,4,38,3,1,5,8,0
69, Female, Amer-Indian-Eskimo,19, 10th, United-States, Married-spouse-absent, Unmarried, Self-emp-not-inc, Adm-clerical,0,0, <=50K,40,6,1,0,0,38,3,4,5,1,0
70, Female, Black,44, 10th, United-States, Married-spouse-absent, Unmarried, Private, Adm-clerical,0,0, <=50K,30,6,1,0,2,38,3,4,3,1,0
71, Female, Black,61, 10th, United-States, Never-married, Not-in-family, State-gov, Other-service,0,0, <=50K,38,6,1,0,2,38,4,1,6,8,0
72, Female, Black,36, 10th, United-States, Never-married, Not-in-family, Private, Transport-moving,0,0, <=50K,40,6,1,0,2,38,4,1,3,14,0
73, Female, White,69, 10th, United-States, Never-married, Not-in-family, Private, Adm-clerical,2907,0, <=50K,119,18,1,0,4,38,4,1,3,1,0
74, Female, White,23, 10th, United-States, Never-married, Not-in-family, Private, Craft-repair,0,0, <=50K,40,6,1,0,4,38,4,1,3,3,0
75, Female, White,36, 10th, United-States, Never-married, Not-in-family, Private, Handlers-cleaners,0,0, <=50K,34,6,1,0,4,38,4,1,3,6,0
76, Female, White,84, 10th, United-States, Never-married, Not-in-family, Private, Machine-op-inspct,0,155, <=50K,125,18,1,0,4,38,4,1,3,7,0
77, Female, White,94, 10th, United-States, Never-married, Not-in-family, Private, Other-service,0,0, <=50K,155,24,1,0,4,38,4,1,3,8,0
78, Female, White,26, 10th, United-States, Never-married, Not-in-family, Self-emp-not-inc, Prof-specialty,0,0, <=50K,32,6,1,0,4,38,4,1,5,10,0
79, Female, White,46, 10th, United-States, Never-married, Not-in-family, Private, Sales,0,1762, <=50K,40,12,1,0,4,38,4,1,3,12,0
80, Female, Black,19, 10th, United-States, Never-married, Other-relative, Private, Other-service,0,0, <=50K,20,6,1,0,2,38,4,2,3,8,0
81, Female, Black,35, 10th, United-States, Never-married, Other-relative, Private, Sales,0,0, <=50K,52,12,1,0,2,38,4,2,3,12,0
82, Female, White,37, 10th, United-States, Never-married, Other-relative, Private, Other-service,0,0, <=50K,70,12,1,0,4,38,4,2,3,8,0
83, Female, White,17, 10th, United-States, Never-married, Other-relative, Private, Sales,0,0, <=50K,10,6,1,0,4,38,4,2,3,12,0
84, Female, Amer-Indian-Eskimo,17, 10th, United-States, Never-married, Own-child, Private, Other-service,1055,0, <=50K,20,6,1,0,0,38,4,3,3,8,0
85, Female, Black,23, 10th, United-States, Never-married, Own-child, Private, Craft-repair,0,0, <=50K,40,6,1,0,2,38,4,3,3,3,0
86, Female, Black,74, 10th, United-States, Never-married, Own-child, Private, Other-service,0,0, <=50K,74,18,1,0,2,38,4,3,3,8,0
87, Female, Black,29, 10th, United-States, Never-married, Own-child, State-gov, Other-service,0,0, <=50K,40,6,1,0,2,38,4,3,6,8,0
88, Female, Black,18, 10th, United-States, Never-married, Own-child, Private, Priv-house-serv,0,0, <=50K,20,6,1,0,2,38,4,3,3,9,0
89, Female, Black,34, 10th, United-States, Never-married, Own-child, Private, Sales,0,0, <=50K,39,12,1,0,2,38,4,3,3,12,0
90, Female, Other,17, 10th, United-States, Never-married, Own-child, Private, Prof-specialty,0,0, <=50K,15,6,1,0,3,38,4,3,3,10,0
91, Female, White,17, 10th, United-States, Never-married, Own-child, Private, Adm-clerical,0,0, <=50K,20,6,1,0,4,38,4,3,3,1,0
92, Female, White,17, 10th, United-States, Never-married, Own-child, Private, Handlers-cleaners,0,0, <=50K,23,6,1,0,4,38,4,3,3,6,0
93, Female, White,47, 10th, United-States, Never-married, Own-child, Private, Machine-op-inspct,0,0, <=50K,80,12,1,0,4,38,4,3,3,7,0
94, Female, White,17, 10th, United-States, Never-married, Own-child, Local-gov, Other-service,0,0, <=50K,25,6,1,0,4,38,4,3,1,8,0
95, Female, White,451, 10th, United-States, Never-married, Own-child, Private, Other-service,0,4806, <=50K,469,150,1,0,4,38,4,3,3,8,0
96, Female, White,51, 10th, United-States, Never-married, Own-child, Self-emp-not-inc, Other-service,0,0, <=50K,64,12,1,0,4,38,4,3,5,8,0
97, Female, White,25, 10th, United-States, Never-married, Own-child, Private, Priv-house-serv,0,0, <=50K,24,6,1,0,4,38,4,3,3,9,0
98, Female, White,35, 10th, United-States, Never-married, Own-child, Local-gov, Protective-serv,0,1602, <=50K,46,12,1,0,4,38,4,3,1,11,0
99, Female, White,298, 10th, United-States, Never-married, Own-child, Private, Sales,0,0, <=50K,289,96,1,0,4,38,4,3,3,12,0
100, Female, Black,31, 10th, United-States, Never-married, Unmarried, Private, Adm-clerical,0,0, <=50K,40,6,1,0,2,38,4,4,3,1,0
101, Female, Black,30, 10th, United-States, Never-married, Unmarried, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,2,38,4,4,3,7,0
102, Female, Black,109, 10th, United-States, Never-married, Unmarried, Private, Other-service,0,0, <=50K,118,18,1,0,2,38,4,4,3,8,0
103, Female, Black,21, 10th, United-States, Never-married, Unmarried, Private, Prof-specialty,0,0, <=50K,40,6,1,0,2,38,4,4,3,10,0
104, Female, Black,19, 10th, United-States, Never-married, Unmarried, Private, Sales,0,0, <=50K,40,6,1,0,2,38,4,4,3,12,0
105, Female, White,31, 10th, United-States, Never-married, Unmarried, Private, Adm-clerical,0,0, <=50K,40,6,1,0,4,38,4,4,3,1,0
106, Female, White,33, 10th, United-States, Never-married, Unmarried, Private, Craft-repair,0,0, <=50K,35,6,1,0,4,38,4,4,3,3,0
107, Female, White,55, 10th, United-States, Never-married, Unmarried, Private, Machine-op-inspct,0,0, <=50K,80,12,1,0,4,38,4,4,3,7,0
108, Female, White,28, 10th, United-States, Never-married, Unmarried, Private, Other-service,0,0, <=50K,15,6,1,0,4,38,4,4,3,8,0
109, Female, White,34, 10th, United-States, Never-married, Unmarried, Private, Sales,0,0, <=50K,36,12,1,0,4,38,4,4,3,12,0
110, Female, Black,68, 10th, United-States, Separated, Not-in-family, Local-gov, Other-service,0,0, <=50K,90,6,1,0,2,38,5,1,1,8,0
111, Female, Black,43, 10th, United-States, Separated, Not-in-family, Private, Other-service,0,0, <=50K,40,6,1,0,2,38,5,1,3,8,0
112, Female, Black,59, 10th, United-States, Separated, Not-in-family, Private, Priv-house-serv,0,0, <=50K,30,6,1,0,2,38,5,1,3,9,0
113, Female, White,98, 10th, United-States, Separated, Not-in-family, Private, Other-service,0,0, <=50K,70,12,1,0,4,38,5,1,3,8,0
114, Female, White,20, 10th, United-States, Separated, Not-in-family, Private, Sales,0,0, <=50K,36,6,1,0,4,38,5,1,3,12,0
115, Female, Black,39, 10th, United-States, Separated, Own-child, Private, Other-service,0,0, <=50K,12,6,1,0,2,38,5,3,3,8,0
116, Female, White,48, 10th, United-States, Separated, Own-child, Private, Machine-op-inspct,0,0, <=50K,48,6,1,0,4,38,5,3,3,7,0
117, Female, White,25, 10th, United-States, Separated, Own-child, Private, Other-service,0,0, <=50K,25,6,1,0,4,38,5,3,3,8,0
118, Female, Black,51, 10th, United-States, Separated, Unmarried, Private, Adm-clerical,0,0, <=50K,40,6,1,0,2,38,5,4,3,1,0
119, Female, Black,95, 10th, United-States, Separated, Unmarried, Private, Machine-op-inspct,0,0, <=50K,80,12,1,0,2,38,5,4,3,7,0
120, Female, Black,49, 10th, United-States, Separated, Unmarried, Local-gov, Other-service,0,0, <=50K,40,6,1,0,2,38,5,4,1,8,0
121, Female, Black,21, 10th, United-States, Separated, Unmarried, Private, Sales,0,0, <=50K,38,6,1,0,2,38,5,4,3,12,0
122, Female, White,50, 10th, United-States, Separated, Unmarried, Private, Adm-clerical,0,0, <=50K,40,6,1,0,4,38,5,4,3,1,0
123, Female, White,32, 10th, United-States, Separated, Unmarried, Private, Craft-repair,0,0, <=50K,40,6,1,0,4,38,5,4,3,3,0
124, Female, White,199, 10th, United-States, Separated, Unmarried, Private, Other-service,3418,0, <=50K,220,36,1,0,4,38,5,4,3,8,0
125, Female, White,29, 10th, United-States, Separated, Unmarried, Private, Sales,0,0, <=50K,40,6,1,0,4,38,5,4,3,12,0
126, Female, Black,109, 10th, United-States, Widowed, Not-in-family, Private, Other-service,0,1980, <=50K,46,12,1,0,2,38,6,1,3,8,0
127, Female, Black,55, 10th, United-States, Widowed, Not-in-family, Private, Transport-moving,0,0, <=50K,35,6,1,0,2,38,6,1,3,14,0
128, Female, White,72, 10th, United-States, Widowed, Not-in-family, Private, Adm-clerical,0,0, <=50K,20,6,1,0,4,38,6,1,3,1,0
129, Female, White,62, 10th, United-States, Widowed, Not-in-family, Private, Handlers-cleaners,0,0, <=50K,40,6,1,0,4,38,6,1,3,6,0
130, Female, White,51, 10th, United-States, Widowed, Not-in-family, Local-gov, Other-service,0,0, <=50K,24,6,1,0,4,38,6,1,1,8,0
131, Female, White,136, 10th, United-States, Widowed, Not-in-family, Private, Other-service,0,0, <=50K,41,12,1,0,4,38,6,1,3,8,0
132, Female, White,75, 10th, United-States, Widowed, Not-in-family, Private, Priv-house-serv,0,0, <=50K,70,6,1,0,4,38,6,1,3,9,0
133, Female, White,125, 10th, United-States, Widowed, Not-in-family, Private, Sales,0,0, <=50K,60,12,1,0,4,38,6,1,3,12,0
134, Female, White,66, 10th, United-States, Widowed, Not-in-family, Private, Transport-moving,0,0, <=50K,11,6,1,0,4,38,6,1,3,14,0
135, Female, White,51, 10th, United-States, Widowed, Other-relative, Self-emp-not-inc, Transport-moving,0,0, <=50K,40,6,1,0,4,38,6,2,5,14,0
136, Female, Black,55, 10th, United-States, Widowed, Unmarried, Private, Craft-repair,0,0, <=50K,40,6,1,0,2,38,6,4,3,3,0
137, Female, Black,56, 10th, United-States, Widowed, Unmarried, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,2,38,6,4,3,7,0
138, Female, Black,59, 10th, United-States, Widowed, Unmarried, Local-gov, Other-service,0,0, <=50K,30,6,1,0,2,38,6,4,1,8,0
139, Female, Black,68, 10th, United-States, Widowed, Unmarried, Private, Other-service,0,0, <=50K,20,6,1,0,2,38,6,4,3,8,0
140, Female, Black,76, 10th, United-States, Widowed, Unmarried, Private, Sales,0,0, <=50K,12,6,1,0,2,38,6,4,3,12,0
141, Female, White,28, 10th, United-States, Widowed, Unmarried, Private, Adm-clerical,0,2238, <=50K,35,6,1,0,4,38,6,4,3,1,0
142, Female, White,59, 10th, United-States, Widowed, Unmarried, Self-emp-inc, Exec-managerial,0,2559, >50K,50,6,0,0,4,38,6,4,4,4,0
143, Female, White,63, 10th, United-States, Widowed, Unmarried, Private, Farming-fishing,0,0, <=50K,56,6,1,0,4,38,6,4,3,5,0
144, Female, White,57, 10th, United-States, Widowed, Unmarried, Private, Other-service,0,0, <=50K,40,6,1,0,4,38,6,4,3,8,0
145, Female, White,60, 10th, United-States, Widowed, Unmarried, Private, Tech-support,0,0, <=50K,40,6,1,0,4,38,6,4,3,13,0
146, Female, Asian-Pac-Islander,23, 10th, Vietnam, Married-civ-spouse, Own-child, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,1,39,2,3,3,7,0
147, Female, White,72, 11th, Canada, Divorced, Not-in-family, Federal-gov, Adm-clerical,0,0, <=50K,8,7,1,0,4,1,0,1,0,1,1
148, Female, White,40, 11th, Dominican-Republic, Never-married, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,37,7,1,0,4,5,4,1,3,7,1
149, Female, White,46, 11th, El-Salvador, Widowed, Not-in-family, Private, Other-service,0,0, <=50K,27,7,1,0,4,7,6,1,3,8,1
150, Female, White,24, 11th, Germany, Never-married, Not-in-family, Private, Adm-clerical,0,0, <=50K,40,7,1,0,4,10,4,1,3,1,1
151, Female, White,56, 11th, Greece, Widowed, Unmarried, Self-emp-not-inc, Other-service,0,0, >50K,65,7,0,0,4,11,6,4,5,8,1
152, Female, White,41, 11th, Guatemala, Divorced, Unmarried, Private, Priv-house-serv,0,0, <=50K,25,7,1,0,4,12,0,4,3,9,1
153, Female, White,19, 11th, Honduras, Never-married, Not-in-family, Private, Sales,0,0, <=50K,40,7,1,0,4,15,4,1,3,12,1
154, Female, Asian-Pac-Islander,60, 11th, Hong, Married-civ-spouse, Wife, Private, Machine-op-inspct,0,0, <=50K,30,7,1,0,1,16,2,5,3,7,1
155, Female, Asian-Pac-Islander,31, 11th, India, Married-spouse-absent, Own-child, Private, Sales,0,0, <=50K,40,7,1,0,1,18,3,3,3,12,1
156, Female, White,17, 11th, India, Never-married, Own-child, Private, Sales,1055,0, <=50K,18,7,1,0,4,18,4,3,3,12,1
157, Female, Asian-Pac-Islander,28, 11th, India, Separated, Unmarried, State-gov, Adm-clerical,0,0, <=50K,40,7,1,0,1,18,5,4,6,1,1
158, Female, White,34, 11th, Ireland, Never-married, Not-in-family, Private, Other-service,0,0, <=50K,40,7,1,0,4,20,4,1,3,8,1
159, Female, Black,28, 11th, Jamaica, Never-married, Not-in-family, Private, Other-service,0,0, <=50K,40,7,1,0,2,22,4,1,3,8,1
160, Female, Black,32, 11th, Jamaica, Never-married, Unmarried, Private, Other-service,0,0, <=50K,40,7,1,0,2,22,4,4,3,8,1
161, Female, Black,51, 11th, Jamaica, Separated, Not-in-family, Private, Other-service,0,0, <=50K,40,7,1,0,2,22,5,1,3,8,1
162, Female, White,28, 11th, Mexico, Married-civ-spouse, Wife, Private, Adm-clerical,0,0, <=50K,40,7,1,0,4,25,2,5,3,1,1
163, Female, White,25, 11th, Mexico, Married-spouse-absent, Not-in-family, Private, Handlers-cleaners,0,0, <=50K,40,7,1,0,4,25,3,1,3,6,1
164, Female, White,21, 11th, Mexico, Never-married, Other-relative, Private, Priv-house-serv,0,0, <=50K,40,7,1,0,4,25,4,2,3,9,1
165, Female, White,18, 11th, Mexico, Never-married, Own-child, Private, Sales,0,0, <=50K,8,7,1,0,4,25,4,3,3,12,1
166, Female, White,35, 11th, Mexico, Separated, Unmarried, Private, Priv-house-serv,0,0, <=50K,8,7,1,0,4,25,5,4,3,9,1
167, Female, Other,19, 11th, Nicaragua, Never-married, Own-child, Private, Sales,0,0, <=50K,32,7,1,0,3,26,4,3,3,12,1
168, Female, White,28, 11th, Nicaragua, Never-married, Unmarried, Private, Machine-op-inspct,0,0, <=50K,40,7,1,0,4,26,4,4,3,7,1
169, Female, White,32, 11th, Nicaragua, Separated, Unmarried, Self-emp-not-inc, Handlers-cleaners,0,0, <=50K,40,7,1,0,4,26,5,4,5,6,1
170, Female, Asian-Pac-Islander,29, 11th, Philippines, Married-civ-spouse, Wife, Private, Handlers-cleaners,2829,0, <=50K,14,7,1,0,1,29,2,5,3,6,1
171, Female, Asian-Pac-Islander,19, 11th, Philippines, Never-married, Own-child, Private, Sales,0,0, <=50K,19,7,1,0,1,29,4,3,3,12,1
172, Female, White,17, 11th, Poland, Never-married, Unmarried, Private, Sales,0,0, <=50K,12,7,1,0,4,30,4,4,3,12,1
173, Female, Other,44, 11th, Puerto-Rico, Divorced, Unmarried, Private, Machine-op-inspct,0,0, <=50K,46,7,1,0,3,32,0,4,3,7,1
174, Female, White,23, 11th, Puerto-Rico, Never-married, Other-relative, Private, Farming-fishing,0,0, <=50K,40,7,1,0,4,32,4,2,3,5,1
175, Female, White,17, 11th, Puerto-Rico, Never-married, Own-child, Local-gov, Prof-specialty,0,0, <=50K,20,7,1,0,4,32,4,3,1,10,1
176, Female, White,39, 11th, Puerto-Rico, Never-married, Unmarried, Private, Prof-specialty,0,0, <=50K,30,7,1,0,4,32,4,4,3,10,1
177, Female, Asian-Pac-Islander,45, 11th, South, Married-spouse-absent, Unmarried, Private, Machine-op-inspct,0,0, <=50K,40,7,1,0,1,34,3,4,3,7,1
178, Female, Amer-Indian-Eskimo,19, 11th, South, Never-married, Own-child, Private, Adm-clerical,0,0, <=50K,15,7,1,0,0,34,4,3,3,1,1
179, Female, Black,58, 11th, United-States, Divorced, Not-in-family, Federal-gov, Craft-repair,14084,0, >50K,40,7,0,0,2,38,0,1,0,3,1
180, Female, Black,52, 11th, United-States, Divorced, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,20,7,1,0,2,38,0,1,3,7,1
181, Female, Black,181, 11th, United-States, Divorced, Not-in-family, Private, Other-service,0,0, <=50K,110,21,1,0,2,38,0,1,3,8,1
182, Female, White,73, 11th, United-States, Divorced, Not-in-family, Private, Craft-repair,0,0, <=50K,85,14,1,0,4,38,0,1,3,3,1
183, Female, White,49, 11th, United-States, Divorced, Not-in-family, Private, Exec-managerial,0,0, <=50K,38,7,1,0,4,38,0,1,3,4,1
184, Female, White,75, 11th, United-States, Divorced, Not-in-family, Private, Handlers-cleaners,0,0, <=50K,100,14,1,0,4,38,0,1,3,6,1
185, Female, White,56, 11th, United-States, Divorced, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,40,7,1,0,4,38,0,1,3,7,1
186, Female, White,297, 11th, United-States, Divorced, Not-in-family, Private, Other-service,0,0, <=50K,290,49,1,0,4,38,0,1,3,8,1
187, Female, White,106, 11th, United-States, Divorced, Not-in-family, Private, Sales,0,0, <=50K,80,14,1,0,4,38,0,1,3,12,1
188, Female, White,53, 11th, United-States, Divorced, Other-relative, Private, Craft-repair,0,0, <=50K,40,7,1,0,4,38,0,2,3,3,1
189, Female, White,40, 11th, United-States, Divorced, Other-relative, Private, Other-service,0,0, <=50K,20,7,1,0,4,38,0,2,3,8,1
